lead_id,account_id,created_date,channel,campaign_id,segment,potential_arr,lead_status,priority_tier
lead_00001,acct_00001,2026-04-05,paid_search,camp_02,smb,62290.34,new,p3
lead_00002,acct_00002,2026-04-05,referral,camp_03,smb,57672.48,new,p3
lead_00003,acct_00003,2026-04-05,referral,camp_03,mid_market,67577.99,new,p1
lead_00004,acct_00004,2026-04-05,partner,camp_05,mid_market,109321.5,new,p1
lead_00005,acct_00005,2026-04-05,outbound,camp_04,mid_market,40020.83,new,p2
lead_00006,acct_00006,2026-04-05,paid_search,camp_02,mid_market,43216.42,new,p3
lead_00007,acct_00007,2026-04-05,organic,camp_07,mid_market,42047.44,new,p3
lead_00008,acct_00008,2026-04-05,outbound,camp_04,mid_market,62552.0,new,p1
lead_00009,acct_00009,2026-04-05,outbound,camp_04,smb,29037.65,new,p2
lead_00010,acct_00010,2026-04-05,paid_search,camp_02,smb,44853.71,new,p3
lead_00011,acct_00011,2026-04-05,outbound,camp_04,smb,30474.89,new,p3
lead_00012,acct_00012,2026-04-05,referral,camp_03,smb,59227.26,new,p2
lead_00013,acct_00013,2026-04-05,paid_search,camp_01,smb,49195.94,new,p4
lead_00014,acct_00014,2026-04-05,referral,camp_03,mid_market,57302.12,new,p2
lead_00015,acct_00015,2026-04-05,webinar,camp_06,smb,45305.3,new,p3
lead_00016,acct_00016,2026-04-05,paid_search,camp_08,smb,37691.6,new,p4
lead_00017,acct_00017,2026-04-05,paid_search,camp_01,mid_market,68339.45,new,p2
lead_00018,acct_00018,2026-04-05,referral,camp_03,mid_market,56999.99,new,p2
lead_00019,acct_00019,2026-04-05,outbound,camp_04,smb,59459.37,new,p2
lead_00020,acct_00020,2026-04-05,partner,camp_05,enterprise,108187.64,new,p2
lead_00021,acct_00021,2026-04-05,paid_search,camp_08,smb,73822.74,new,p2
lead_00022,acct_00022,2026-04-05,organic,camp_07,smb,85312.46,new,p2
lead_00023,acct_00023,2026-04-05,outbound,camp_04,enterprise,51266.27,new,p3
lead_00024,acct_00024,2026-04-05,organic,camp_07,smb,75423.64,new,p2
lead_00025,acct_00025,2026-04-05,paid_search,camp_02,smb,61913.2,new,p3
lead_00026,acct_00026,2026-04-05,paid_search,camp_01,enterprise,73025.98,new,p3
lead_00027,acct_00027,2026-04-06,paid_search,camp_02,smb,8000.0,new,p4
lead_00028,acct_00028,2026-04-06,outbound,camp_04,smb,28124.93,new,p3
lead_00029,acct_00029,2026-04-06,webinar,camp_06,smb,65686.08,new,p2
lead_00030,acct_00030,2026-04-06,paid_search,camp_01,smb,22481.01,new,p3
