account_id,account_name,segment,industry,employee_count,potential_arr
acct_00001,Conta 00001,smb,retail,64,62290.34
acct_00002,Conta 00002,smb,software,175,57672.48
acct_00003,Conta 00003,mid_market,healthcare,672,67577.99
acct_00004,Conta 00004,mid_market,healthcare,523,109321.5
acct_00005,Conta 00005,mid_market,education,459,40020.83
acct_00006,Conta 00006,mid_market,healthcare,659,43216.42
acct_00007,Conta 00007,mid_market,retail,661,42047.44
acct_00008,Conta 00008,mid_market,healthcare,399,62552.0
acct_00009,Conta 00009,smb,healthcare,38,29037.65
acct_00010,Conta 00010,smb,retail,90,44853.71
acct_00011,Conta 00011,smb,healthcare,54,30474.89
acct_00012,Conta 00012,smb,healthcare,124,59227.26
acct_00013,Conta 00013,smb,retail,69,49195.94
acct_00014,Conta 00014,mid_market,retail,829,57302.12
acct_00015,Conta 00015,smb,software,143,45305.3
acct_00016,Conta 00016,smb,healthcare,92,37691.6
acct_00017,Conta 00017,mid_market,healthcare,303,68339.45
acct_00018,Conta 00018,mid_market,retail,527,56999.99
acct_00019,Conta 00019,smb,manufacturing,101,59459.37
acct_00020,Conta 00020,enterprise,manufacturing,1405,108187.64
acct_00021,Conta 00021,smb,financial_services,46,73822.74
acct_00022,Conta 00022,smb,retail,151,85312.46
acct_00023,Conta 00023,enterprise,financial_services,1493,51266.27
acct_00024,Conta 00024,smb,financial_services,164,75423.64
acct_00025,Conta 00025,smb,healthcare,142,61913.2
acct_00026,Conta 00026,enterprise,healthcare,1546,73025.98
acct_00027,Conta 00027,smb,education,134,8000.0
acct_00028,Conta 00028,smb,retail,48,28124.93
acct_00029,Conta 00029,smb,manufacturing,72,65686.08
acct_00030,Conta 00030,smb,healthcare,92,22481.01
acct_00031,Conta 00031,mid_market,education,193,15658.04
acct_00032,Conta 00032,mid_market,education,804,39072.01
acct_00033,Conta 00033,smb,manufacturing,67,10360.89
acct_00034,Conta 00034,mid_market,retail,286,25911.8
acct_00035,Conta 00035,smb,manufacturing,53,59825.79
acct_00036,Conta 00036,smb,manufacturing,132,32004.11
acct_00037,Conta 00037,smb,retail,57,29011.96
acct_00038,Conta 00038,smb,software,155,33264.97
acct_00039,Conta 00039,enterprise,financial_services,3787,60179.57
acct_00040,Conta 00040,mid_market,education,797,37464.41
acct_00041,Conta 00041,smb,software,92,35305.54
acct_00042,Conta 00042,mid_market,healthcare,863,70047.83
acct_00043,Conta 00043,mid_market,manufacturing,564,96901.88
acct_00044,Conta 00044,smb,education,122,66082.31
acct_00045,Conta 00045,mid_market,financial_services,756,54794.84
acct_00046,Conta 00046,mid_market,software,249,42590.08
acct_00047,Conta 00047,smb,healthcare,144,8000.0
acct_00048,Conta 00048,mid_market,healthcare,244,52636.31
acct_00049,Conta 00049,enterprise,manufacturing,1874,93191.8
acct_00050,Conta 00050,smb,healthcare,87,78996.84
acct_00051,Conta 00051,enterprise,software,3484,89205.67
acct_00052,Conta 00052,smb,financial_services,96,19470.35
acct_00053,Conta 00053,enterprise,healthcare,1922,19418.14
acct_00054,Conta 00054,smb,financial_services,66,46125.8
acct_00055,Conta 00055,mid_market,software,184,51381.01
acct_00056,Conta 00056,mid_market,healthcare,756,8000.0
acct_00057,Conta 00057,mid_market,manufacturing,633,45755.52
acct_00058,Conta 00058,smb,manufacturing,177,35555.7
acct_00059,Conta 00059,smb,retail,55,39640.44
acct_00060,Conta 00060,smb,education,115,54702.03
acct_00061,Conta 00061,enterprise,retail,4286,71210.0
acct_00062,Conta 00062,mid_market,software,400,90248.86
acct_00063,Conta 00063,mid_market,education,603,31999.36
acct_00064,Conta 00064,smb,retail,114,71907.88
acct_00065,Conta 00065,mid_market,financial_services,491,40893.35
acct_00066,Conta 00066,enterprise,healthcare,2773,99453.99
