lead_id,activity_type,activity_at,activity_status
lead_00001,first_touch,2026-04-05T21:57:13.355684779,completed
lead_00002,first_touch,2026-04-05T22:26:45.294541500,completed
lead_00003,first_touch,2026-04-05T06:04:20.117136785,completed
lead_00004,first_touch,2026-04-05T06:19:32.103258525,completed
lead_00005,first_touch,2026-04-05T13:30:25.802750329,completed
lead_00006,first_touch,2026-04-05T14:18:33.968968886,completed
lead_00007,first_touch,2026-04-05T16:25:55.462417705,completed
lead_00008,first_touch,2026-04-06T01:36:23.753373902,completed
lead_00009,first_touch,2026-04-05T10:44:28.683756293,completed
lead_00010,first_touch,2026-04-05T17:57:30.156390277,completed
lead_00011,first_touch,2026-04-05T20:43:20.980518622,completed
lead_00012,first_touch,2026-04-06T03:33:57.267204218,completed
lead_00013,first_touch,2026-04-05T18:14:53.443892414,completed
lead_00014,first_touch,2026-04-05T03:01:56.850290274,completed
lead_00015,first_touch,2026-04-05T16:19:22.119751101,completed
lead_00016,first_touch,2026-04-06T23:28:57.333942533,completed
lead_00017,first_touch,2026-04-05T11:31:19.115610037,completed
lead_00018,first_touch,2026-04-05T12:36:39.190402361,completed
lead_00019,first_touch,2026-04-06T11:39:56.057516135,completed
lead_00020,first_touch,2026-04-06T09:46:40.267266361,completed
lead_00021,first_touch,2026-04-05T07:55:40.886405497,completed
lead_00022,first_touch,2026-04-05T13:48:56.306113261,completed
lead_00023,first_touch,2026-04-05T04:05:20.060208890,completed
lead_00024,first_touch,2026-04-05T05:48:34.505228226,completed
lead_00025,first_touch,2026-04-06T00:11:50.369491543,completed
lead_00026,first_touch,2026-04-05T16:01:26.899272153,completed
lead_00027,first_touch,2026-04-06T18:52:53.826236112,completed
lead_00028,first_touch,2026-04-07T03:47:20.856046629,completed
lead_00029,first_touch,2026-04-06T05:43:17.056627080,completed
lead_00030,first_touch,2026-04-06T02:29:08.974393118,completed
lead_00031,first_touch,2026-04-06T22:45:26.529872230,completed
lead_00032,first_touch,2026-04-06T19:34:39.257399301,completed
lead_00033,first_touch,2026-04-06T08:55:56.822122400,completed
lead_00034,first_touch,2026-04-06T19:04:51.150610569,completed
lead_00035,first_touch,2026-04-06T05:09:07.602460641,completed
lead_00036,first_touch,2026-04-06T08:54:10.830381915,completed
lead_00037,first_touch,2026-04-06T18:43:37.177172759,completed
