lead_id,rule_id,sdr_id,priority_tier,routing_method,response_time_hours,routed_at
lead_00001,rule_02,sdr_02,p3,rule_based,21.95,2026-04-05T00:00:00
lead_00002,rule_03,sdr_01,p3,rule_based,22.45,2026-04-05T00:00:00
lead_00003,rule_03,sdr_04,p1,rule_based,6.07,2026-04-05T00:00:00
lead_00004,rule_01,sdr_05,p1,rule_based,6.33,2026-04-05T00:00:00
lead_00005,rule_04,sdr_03,p2,rule_based,13.51,2026-04-05T00:00:00
lead_00006,rule_03,sdr_01,p3,rule_based,14.31,2026-04-05T00:00:00
lead_00007,rule_03,sdr_01,p3,rule_based,16.43,2026-04-05T00:00:00
lead_00008,rule_04,sdr_02,p1,rule_based,25.61,2026-04-05T00:00:00
lead_00009,rule_04,sdr_03,p2,rule_based,10.74,2026-04-05T00:00:00
lead_00010,rule_02,sdr_02,p3,rule_based,17.96,2026-04-05T00:00:00
lead_00011,rule_04,sdr_02,p3,rule_based,20.72,2026-04-05T00:00:00
lead_00012,rule_03,sdr_01,p2,rule_based,27.57,2026-04-05T00:00:00
lead_00013,rule_02,sdr_02,p4,rule_based,18.25,2026-04-05T00:00:00
lead_00014,rule_03,sdr_01,p2,rule_based,3.03,2026-04-05T00:00:00
lead_00015,rule_03,sdr_01,p3,rule_based,16.32,2026-04-05T00:00:00
lead_00016,rule_02,sdr_02,p4,rule_based,47.48,2026-04-05T00:00:00
lead_00017,rule_03,sdr_01,p2,rule_based,11.52,2026-04-05T00:00:00
lead_00018,rule_03,sdr_04,p2,rule_based,12.61,2026-04-05T00:00:00
lead_00019,rule_04,sdr_02,p2,rule_based,35.67,2026-04-05T00:00:00
lead_00020,rule_01,sdr_05,p2,rule_based,33.78,2026-04-05T00:00:00
lead_00021,rule_02,sdr_02,p2,rule_based,7.93,2026-04-05T00:00:00
lead_00022,rule_03,sdr_01,p2,rule_based,13.82,2026-04-05T00:00:00
lead_00023,rule_01,sdr_05,p3,rule_based,4.09,2026-04-05T00:00:00
lead_00024,rule_03,sdr_01,p2,rule_based,5.81,2026-04-05T00:00:00
lead_00025,rule_02,sdr_02,p3,rule_based,24.2,2026-04-05T00:00:00
lead_00026,rule_01,sdr_05,p3,rule_based,16.02,2026-04-05T00:00:00
lead_00027,rule_02,sdr_02,p4,rule_based,18.88,2026-04-06T00:00:00
lead_00028,rule_04,sdr_02,p3,rule_based,27.79,2026-04-06T00:00:00
lead_00029,rule_03,sdr_01,p2,rule_based,5.72,2026-04-06T00:00:00
lead_00030,rule_02,sdr_02,p3,rule_based,2.49,2026-04-06T00:00:00
lead_00031,rule_03,sdr_01,p3,rule_based,22.76,2026-04-06T00:00:00
lead_00032,rule_03,sdr_01,p4,rule_based,19.58,2026-04-06T00:00:00
lead_00033,rule_02,sdr_02,p2,rule_based,8.93,2026-04-06T00:00:00
lead_00034,rule_03,sdr_01,p4,rule_based,19.08,2026-04-06T00:00:00
lead_00035,rule_04,sdr_03,p1,rule_based,5.15,2026-04-06T00:00:00
lead_00036,rule_02,sdr_02,p3,rule_based,8.9,2026-04-06T00:00:00
lead_00037,rule_02,sdr_02,p4,rule_based,18.73,2026-04-06T00:00:00
lead_00038,rule_03,sdr_01,p3,rule_based,11.88,2026-04-06T00:00:00
lead_00039,rule_01,sdr_05,p3,rule_based,26.13,2026-04-06T00:00:00
lead_00040,rule_03,sdr_04,p4,rule_based,18.05,2026-04-06T00:00:00
lead_00041,rule_02,sdr_02,p3,rule_based,27.43,2026-04-06T00:00:00
lead_00042,rule_01,sdr_05,p1,rule_based,10.28,2026-04-06T00:00:00
